metric,mode,n_public,n_private,mean_public,mean_private,median_public,median_private,diff_mean (Priv−Pub),mean_CI95,diff_median (Priv−Pub),median_CI95,Hedges_g,Cliffs_delta,p_adj_u,p_adj_t,p_use,stars
Avg Fares Per Trip FY,Bus,1110,33,2.5689009009009007,8.325151515151516,1.355,3.63,5.76392701064701,"(2.0288482800982806, 10.255401699426699)",2.2901749999999996,"(-0.7999999999999999, 6.230500000000002)",1.2977024012561638,-0.22254982254982258,0.041190048938850886,0.01750141059190518,0.041190048938850886,*
Avg Fares Per Trip FY,Ferry,23,7,4.314347826086958,20.108571428571427,3.7,8.77,15.96257596273292,"(2.340159937888198, 33.257799689441)",9.391630000000001,"(-0.9499999999999993, 31.040000000000003)",1.3884348824554118,-0.5527950310559007,0.041190048938850886,0.15738480536569635,0.041190048938850886,*
Avg Trip Length FY,Bus,1110,33,10.088288288288288,26.303030303030305,6.0,12.0,16.183050696150694,"(7.351074938574937, 25.907678132678132)",9.3355,"(1.0, 28.0)",1.3631845634672837,-0.35940485940485944,0.0016255262818085346,0.007254447327943967,0.0016255262818085346,**
Avg Trip Length FY,Ferry,23,7,6.434782608695652,17.142857142857142,4.0,8.0,10.462038819875776,"(-1.0694099378881983, 24.71444099378882)",7.23125,"(-3.0, 24.0)",0.9708661509742986,-0.3850931677018633,0.13303661174767187,0.1972918069693709,0.13303661174767187,ns
