mode,n_public,n_private,mean_public,ci_public,mean_private,ci_private,p_raw,p_adj,stars
Bus,1110,33,2.5686088445945945,"(2.3458655405405406, 2.8275722972972974)",8.354764166666667,"(4.752689393939393, 12.549409090909093)",0.02908046409800165,0.030892536704138163,*
Ferry,23,7,4.312873804347826,"(2.8991195652173913, 5.809804347826087)",20.10593285714286,"(6.844500000000001, 37.67857142857143)",0.030892536704138163,0.030892536704138163,*
