mode,n_public,n_private,mean_public,ci_public,mean_private,ci_private,p_raw,p_adj,stars
Bus,1110,33,10.088156981981982,"(9.463063063063062, 10.743265765765766)",26.347560606060608,"(17.878030303030304, 35.849242424242426)",0.00040638157045213365,0.0008127631409042673,***
Ferry,23,7,6.391228260869566,"(3.869565217391304, 9.130434782608695)",17.366714285714284,"(5.857142857142857, 31.857142857142858)",0.13303661174767187,0.13303661174767187,ns
